manufacturer,product_name,storage_type,capacity_gb,form_factor,interface,nvme
Transcend,Transcend ESD360C 1 TB External SSD,SSD,1000,,USB Type-C,False
Transcend,Transcend ESD360C 2 TB External SSD,SSD,2000,"2.5""",USB Type-C,False
Transcend,Transcend ESD360C 4 TB External SSD,SSD,4000,,USB Type-C,False
Transcend,Transcend ESD380C 1 TB External SSD,SSD,1000,"2.5""",USB 3.2 Gen 2,False
Transcend,Transcend 1 TB External SSD,SSD,1000,External,USB Type-C,False
Transcend,Transcend ESD380C 2 TB External SSD,SSD,2000,"2.5""",USB 3.2 Gen 2,False
Transcend,Transcend ESD380C 4 TB External SSD,SSD,4000,"2.5""",SATA 6.0 Gb/s,False
Transcend,Transcend ESD410C 1 TB External SSD,SSD,1000,,USB 3.2 Gen 2x2,False
Transcend,Transcend ESD410C 2 TB External SSD,SSD,2000,"2.5""",USB 20Gbps,False
Transcend,Transcend ESD410C 4 TB External SSD,SSD,4000,External,USB 20Gbps,False
Transcend,Transcend MTE115S 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 3.0 x4,True
Transcend,Transcend MTE115S 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,250,M.2-2280,PCIe 3.0 x4,True
Transcend,Transcend MTE115S 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 3.0 x4,True
Transcend,Transcend MTE115S 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,500,M.2-2280,PCIe 3.0 x4,True
Transcend,Transcend MTE255S 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Transcend,Transcend MTE255S 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
Transcend,Transcend MTE300S 1 TB M.2-2230 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2230,PCIe 4.0 x4,True
Transcend,Transcend MTE310S 1 TB M.2-2230 PCIe 3.0 x4 NVME Solid State Drive,SSD,1000,M.2-2230,PCIe 3.0 x4,True
Transcend,Transcend MTE410S 1 TB M.2-2242 PCIe 3.0 x4 NVME Solid State Drive,SSD,1000,M.2-2242,PCIe 3.0 x4,True
Transcend,Transcend MTE410S 2 TB M.2-2242 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2242,PCIe 4.0 x4,True
Transcend,Transcend StoreJet 2 TB External Hard Drive,HDD,2000,"2.5""",USB 3.0,False
Transcend,"Transcend StoreJet 25H3B 4 TB 2.5"" External Hard Drive",HDD,4000,"2.5""",USB 3.0,False
Transcend,Transcend StoreJet 25H3P 4 TB External Hard Drive,HDD,4000,"2.5""",USB 3.0,False
Transcend,Transcend StoreJet 25M3C 4 TB External Hard Drive,HDD,4000,"2.5""",USB 3.1 Gen 1,False
Transcend,Transcend StoreJet 25M3G 2 TB External Hard Drive,HDD,2000,"2.5""",USB 3.1 Gen 1,False
Transcend,Transcend StoreJet 25M3S 1 TB External Hard Drive,HDD,1000,"2.5""",USB 3.1 Gen 1,False
Transcend,Transcend StoreJet 25M3S 2 TB External Hard Drive,HDD,2000,"2.5""",USB 3.1 Gen 1,False
Transcend,Transcend StoreJet 25M3S 4 TB External Hard Drive,HDD,4000,"2.5""",USB 3.1 Gen 1,False
Transcend,"Transcend StoreJet 35T3 4 TB 3.5"" External Hard Drive",HDD,4000,"3.5""",USB 3.1 Gen 1,False
Transcend,"Transcend StoreJet 35T3 8 TB 3.5"" External Hard Drive",HDD,8000,"3.5""",USB 3.1 Gen 1,False
Transcend,"Transcend StoreJet 25M3 1 TB 2.5"" External Hard Drive",HDD,1000,"2.5""",SATA 6.0 Gb/s,False
Verbatim,"Verbatim Vi550 1 TB 2.5"" SATA III Solid State Drive",SSD,1000,"2.5""",SATA 6.0 Gb/s,False
Verbatim,"Verbatim Vi550 256 GB 2.5"" SATA III Solid State Drive",SSD,256,"2.5""",SATA 6.0 Gb/s,False
Western,Western Digital Black SN7100 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Western,"Western Digital Blue 1 TB 3.5"" 5400 RPM Internal Hard Drive",HDD,1000,"3.5""",SATA 6.0 Gb/s,False
Western,"Western Digital WD Blue 4 TB 3.5"" 5400 RPM Internal Hard Drive",HDD,4000,"3.5""",SATA 6.0 Gb/s,False
Western,Western Digital Blue SN5000 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Western,Western Digital WD Blue SN5000 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,500,M.2-2280,PCIe 4.0 x4,True
Western,Western Digital Blue SN5100 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,500,M.2-2280,PCIe 4.0 x4,True
Western,Western Digital Green SN3000 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Western,Western Digital Green SN3000 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,500,M.2-2280,PCIe 4.0 x4,True
Western,"Western Digital 1 TB 2.5"" 5400 RPM External Hard Drive",HDD,1000,"2.5""",SATA 6.0 Gb/s,False
Western,Western Digital My Passport 1 TB External Hard Drive,HDD,1000,"2.5""",USB 3.0,False
WD,WD My Passport 4 TB External USB 3.0 Portable Hard Drive,HDD,4000,"2.5""",USB 3.0,False
WD,WD My Passport 5 TB External USB 3.0 Portable Hard Drive,HDD,5000,"2.5""",USB 3.0,False
Western,Western Digital WD Blue SN5000 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Western,Western Digital WD Blue SN5000 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
Western,"Western Digital Ultrastar 18 TB 3.5"" 7200 RPM Internal Hard Drive",HDD,18000,"3.5""",SATA 6.0 Gb/s,False
XPG,XPG GAMMIX S60 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
XPG,XPG GAMMIX S60 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 4.0 x4,True
XPG,XPG GAMMIX S60 Blade 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
XPG,XPG GAMMIX S60 Blade 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 4.0 x4,True
XPG,XPG GAMMIX S70 BLADE 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
XPG,XPG GAMMIX S70 BLADE 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
XPG,XPG GAMMIX S70 BLADE 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,4000,M.2-2280,PCIe 4.0 x4,True
XPG,XPG Legend 970 Pro 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 5.0 x4,True
